,File_ID,project,path,area,relative_path,filename,ext,lines,Initial Author,Latest Author,Most Frequent Author,Unique Authors,Initial Commit,Latest Commit,Total Commits,Total Inserts,Total Deletes
370,370,src,,Microsoft.DotNet.Interactive.ApiCompatibility.Tests,src\Microsoft.DotNet.Interactive.ApiCompatibility.Tests\ApiCompatibilityTests.cs,ApiCompatibilityTests.cs,.cs,130,Diego Colombo,Diego Colombo,Diego Colombo,1,,,1,0,0
371,371,src,,Microsoft.DotNet.Interactive.ApiCompatibility.Tests,src\Microsoft.DotNet.Interactive.ApiCompatibility.Tests\ApiContract.cs,ApiContract.cs,.cs,370,Jon Sequeira,Jon Sequeira,Jon Sequeira,1,,,1,0,0
372,372,src,,Microsoft.DotNet.Interactive.AspNetCore,src\Microsoft.DotNet.Interactive.AspNetCore\AspNetCoreCSharpKernelExtensions.cs,AspNetCoreCSharpKernelExtensions.cs,.cs,115,Stephen Halter,Osvaldo Calles,Jon Sequeira,1,,,1,0,0
373,373,src,,Microsoft.DotNet.Interactive.AspNetCore,src\Microsoft.DotNet.Interactive.AspNetCore\AspNetCoreKernelExtension.cs,AspNetCoreKernelExtension.cs,.cs,22,Stephen Halter,Diego Colombo,Diego Colombo,1,,,1,0,0
374,374,src,,Microsoft.DotNet.Interactive.AspNetCore,src\Microsoft.DotNet.Interactive.AspNetCore\EndpointRouteBuilderExtensions.cs,EndpointRouteBuilderExtensions.cs,.cs,23,Stephen Halter,Diego Colombo,Diego Colombo,1,,,1,0,0
375,375,src,,Microsoft.DotNet.Interactive.AspNetCore,src\Microsoft.DotNet.Interactive.AspNetCore\EnhancedHttpClient.cs,EnhancedHttpClient.cs,.cs,54,Diego Colombo,Diego Colombo,Diego Colombo,1,,,1,0,0
376,376,src,,Microsoft.DotNet.Interactive.AspNetCore,src\Microsoft.DotNet.Interactive.AspNetCore\InteractiveHost.cs,InteractiveHost.cs,.cs,70,Stephen Halter,Diego Colombo,Stephen Halter,1,,,1,0,0
377,377,src,,Microsoft.DotNet.Interactive.AspNetCore,src\Microsoft.DotNet.Interactive.AspNetCore\InteractiveLoggerProvider.cs,InteractiveLoggerProvider.cs,.cs,125,Stephen Halter,Diego Colombo,Diego Colombo,1,,,1,0,0
378,378,src,,Microsoft.DotNet.Interactive.AspNetCore,src\Microsoft.DotNet.Interactive.AspNetCore\LogMessage.cs,LogMessage.cs,.cs,15,Stephen Halter,Diego Colombo,Diego Colombo,1,,,1,0,0
379,379,src,,Microsoft.DotNet.Interactive.AspNetCore,src\Microsoft.DotNet.Interactive.AspNetCore\Startup.cs,Startup.cs,.cs,44,Stephen Halter,Diego Colombo,Diego Colombo,1,,,1,0,0
380,380,src,,Microsoft.DotNet.Interactive.AspNetCore.Tests,src\Microsoft.DotNet.Interactive.AspNetCore.Tests\AspNetCoreTests.cs,AspNetCoreTests.cs,.cs,206,Stephen Halter,Jon Sequeira,Diego Colombo,1,,,1,0,0
381,381,src,,Microsoft.DotNet.Interactive.Browser,src\Microsoft.DotNet.Interactive.Browser\BrowserDisplayEvent.cs,BrowserDisplayEvent.cs,.cs,20,Jon Sequeira,Jon Sequeira,Jon Sequeira,1,,,1,0,0
382,382,src,,Microsoft.DotNet.Interactive.Browser,src\Microsoft.DotNet.Interactive.Browser\BrowserDisplayEventFormatterSource.cs,BrowserDisplayEventFormatterSource.cs,.cs,64,Jon Sequeira,Diego Colombo,Jon Sequeira,1,,,1,0,0
383,383,src,,Microsoft.DotNet.Interactive.Browser,src\Microsoft.DotNet.Interactive.Browser\BrowserKernelLanguage.cs,BrowserKernelLanguage.cs,.cs,9,Jon Sequeira,Jon Sequeira,Jon Sequeira,1,,,1,0,0
384,384,src,,Microsoft.DotNet.Interactive.Browser,src\Microsoft.DotNet.Interactive.Browser\extension.dib,extension.dib,.dib,3,Jon Sequeira,Jon Sequeira,Jon Sequeira,1,,,1,0,0
385,385,src,,Microsoft.DotNet.Interactive.Browser,src\Microsoft.DotNet.Interactive.Browser\PlaywrightKernelConnector.cs,PlaywrightKernelConnector.cs,.cs,338,Jon Sequeira,Diego Colombo,Jon Sequeira,1,,,1,0,0
386,386,src,,Microsoft.DotNet.Interactive.Browser.Tests,src\Microsoft.DotNet.Interactive.Browser.Tests\(Pocket)\LogEvents.cs,LogEvents.cs,.cs,25,Jon Sequeira,Diego Colombo,Diego Colombo,1,,,1,0,0
387,387,src,,Microsoft.DotNet.Interactive.Browser.Tests,src\Microsoft.DotNet.Interactive.Browser.Tests\HtmlKernelTests.cs,HtmlKernelTests.cs,.cs,234,Jon Sequeira,Osvaldo Calles,Jon Sequeira,1,,,1,0,0
388,388,src,,Microsoft.DotNet.Interactive.Browser.Tests,src\Microsoft.DotNet.Interactive.Browser.Tests\JavaScriptKernelTests.cs,JavaScriptKernelTests.cs,.cs,131,Jon Sequeira,Osvaldo Calles,Jon Sequeira,1,,,1,0,0
389,389,src,,Microsoft.DotNet.Interactive.CSharp,src\Microsoft.DotNet.Interactive.CSharp\CachingMetadataResolver.cs,CachingMetadataResolver.cs,.cs,69,Diego Colombo,Diego Colombo,Diego Colombo,1,,,1,0,0
390,390,src,,Microsoft.DotNet.Interactive.CSharp,src\Microsoft.DotNet.Interactive.CSharp\CompletionExtensions.cs,CompletionExtensions.cs,.cs,88,Diego Colombo,Diego Colombo,Diego Colombo,1,,,1,0,0
