,fullpath,root,project,path,area,relative_path,filename,ext,lines
449,C:/Dev/Interactive/src/./CodeFenceAnnotationsParser.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Markdown\CodeFenceAnnotationsParser.cs,CodeFenceAnnotationsParser.cs,.cs,201
340,C:/Dev/Interactive/src/./CommandLine.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive,src\Microsoft.DotNet.Interactive\Utility\CommandLine.cs,CommandLine.cs,.cs,200
8,C:/Dev/Interactive//./DEVELOPER-GUIDE.md,C:/Dev/Interactive/,,.,Root,DEVELOPER-GUIDE.md,DEVELOPER-GUIDE.md,.md,200
509,C:/Dev/Interactive/src/./ProjectAsset.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Packaging\ProjectAsset.cs,ProjectAsset.cs,.cs,198
295,C:/Dev/Interactive/src/./KeyValueStoreKernel.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive,src\Microsoft.DotNet.Interactive\KeyValueStoreKernel.cs,KeyValueStoreKernel.cs,.cs,198
730,C:/Dev/Interactive/src/./Html.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Formatting,src\Microsoft.DotNet.Interactive.Formatting\Html.cs,Html.cs,.cs,196
557,C:/Dev/Interactive/src/./DiagnosticTransformer.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Transformations\DiagnosticTransformer.cs,DiagnosticTransformer.cs,.cs,196
106,C:/Dev/Interactive/samples/./HTML.ipynb,C:/Dev/Interactive/,samples,.,notebooks,samples\notebooks\powershell\Docs\HTML.ipynb,HTML.ipynb,.ipynb,196
1065,C:/Dev/Interactive/src/./TelemetrySender.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Telemetry,src\Microsoft.DotNet.Interactive.Telemetry\TelemetrySender.cs,TelemetrySender.cs,.cs,195
602,C:/Dev/Interactive/src/./PipelineStepTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject.Tests,src\Microsoft.DotNet.Interactive.CSharpProject.Tests\PipelineStepTests.cs,PipelineStepTests.cs,.cs,195
346,C:/Dev/Interactive/src/./Dotnet.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive,src\Microsoft.DotNet.Interactive\Utility\Dotnet.cs,Dotnet.cs,.cs,191
1104,C:/Dev/Interactive/src/./LanguageKernelTestBase.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Tests,src\Microsoft.DotNet.Interactive.Tests\LanguageKernelTestBase.cs,LanguageKernelTestBase.cs,.cs,190
159,C:/Dev/Interactive/src/./LanguageKernelExtensionLoadingTests.cs,C:/Dev/Interactive/,src,.,dotnet-interactive.Tests,src\dotnet-interactive.Tests\LanguageKernelExtensionLoadingTests.cs,LanguageKernelExtensionLoadingTests.cs,.cs,190
616,C:/Dev/Interactive/src/./SourceCodeProvider.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject.Tests,src\Microsoft.DotNet.Interactive.CSharpProject.Tests\SourceCodeProvider.cs,SourceCodeProvider.cs,.cs,189
348,C:/Dev/Interactive/src/./FileNameUtilities.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive,src\Microsoft.DotNet.Interactive\Utility\FileNameUtilities.cs,FileNameUtilities.cs,.cs,188
928,C:/Dev/Interactive/src/./HistoryReplyConverter.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Jupyter,src\Microsoft.DotNet.Interactive.Jupyter\Protocol\HistoryReplyConverter.cs,HistoryReplyConverter.cs,.cs,187
646,C:/Dev/Interactive/src/./InteractiveDocumentElementConverter.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Documents,src\Microsoft.DotNet.Interactive.Documents\Jupyter\InteractiveDocumentElementConverter.cs,InteractiveDocumentElementConverter.cs,.cs,187
841,C:/Dev/Interactive/src/./VariableRouter.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Http,src\Microsoft.DotNet.Interactive.Http\VariableRouter.cs,VariableRouter.cs,.cs,186
901,C:/Dev/Interactive/src/./Message.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Jupyter,src\Microsoft.DotNet.Interactive.Jupyter\Messaging\Message.cs,Message.cs,.cs,186
543,C:/Dev/Interactive/src/./InstrumentationSyntaxVisitor.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Servers\Roslyn\Instrumentation\InstrumentationSyntaxVisitor.cs,InstrumentationSyntaxVisitor.cs,.cs,184
97,C:/Dev/Interactive/samples/./D3.js with import.ipynb,C:/Dev/Interactive/,samples,.,notebooks,samples\notebooks\javascript\D3.js with import.ipynb,D3.js with import.ipynb,.ipynb,184
52,C:/Dev/Interactive/eng/./PerformanceTests.cs,C:/Dev/Interactive/,eng,.,perf-tests,eng\perf-tests\PerformanceTests.cs,PerformanceTests.cs,.cs,184
1077,C:/Dev/Interactive/src/./ObservableCommandAndEventReceiverTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Tests,src\Microsoft.DotNet.Interactive.Tests\Connection\ObservableCommandAndEventReceiverTests.cs,ObservableCommandAndEventReceiverTests.cs,.cs,183
506,C:/Dev/Interactive/src/./PackageRegistry.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Packaging\PackageRegistry.cs,PackageRegistry.cs,.cs,181
521,C:/Dev/Interactive/src/./RelativePath.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\RelativePath.cs,RelativePath.cs,.cs,180
107,C:/Dev/Interactive/samples/./Interact-With-Azure-Cloud-Shell.ipynb,C:/Dev/Interactive/,samples,.,notebooks,samples\notebooks\powershell\Docs\Interact-With-Azure-Cloud-Shell.ipynb,Interact-With-Azure-Cloud-Shell.ipynb,.ipynb,178
556,C:/Dev/Interactive/src/./SourceTextExtensions.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\SourceTextExtensions.cs,SourceTextExtensions.cs,.cs,177
591,C:/Dev/Interactive/src/./InstrumentationLineMapperTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject.Tests,src\Microsoft.DotNet.Interactive.CSharpProject.Tests\Instrumentation\InstrumentationLineMapperTests.cs,InstrumentationLineMapperTests.cs,.cs,177
592,C:/Dev/Interactive/src/./InstrumentationSyntaxRewriterTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject.Tests,src\Microsoft.DotNet.Interactive.CSharpProject.Tests\Instrumentation\InstrumentationSyntaxRewriterTests.cs,InstrumentationSyntaxRewriterTests.cs,.cs,176
441,C:/Dev/Interactive/src/./SignatureHelpService.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\LanguageServices\SignatureHelpService.cs,SignatureHelpService.cs,.cs,176
825,C:/Dev/Interactive/src/./HttpApiTunnelingRouter.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Http,src\Microsoft.DotNet.Interactive.Http\HttpApiTunnelingRouter.cs,HttpApiTunnelingRouter.cs,.cs,176
675,C:/Dev/Interactive/src/./ImportNotebookTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Documents.Tests,src\Microsoft.DotNet.Interactive.Documents.Tests\ImportNotebookTests.cs,ImportNotebookTests.cs,.cs,174
552,C:/Dev/Interactive/src/./WorkspaceUtilities.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.CSharpProject,src\Microsoft.DotNet.Interactive.CSharpProject\Servers\Roslyn\WorkspaceUtilities.cs,WorkspaceUtilities.cs,.cs,173
755,C:/Dev/Interactive/src/./PocketViewTags.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Formatting,src\Microsoft.DotNet.Interactive.Formatting\PocketViewTags.cs,PocketViewTags.cs,.cs,173
1002,C:/Dev/Interactive/src/./MermaidKernelTests.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Mermaid.Tests,src\Microsoft.DotNet.Interactive.Mermaid.Tests\MermaidKernelTests.cs,MermaidKernelTests.cs,.cs,172
44,C:/Dev/Interactive/eng/./common-library.sh,C:/Dev/Interactive/,eng,.,common,eng\common\native\common-library.sh,common-library.sh,.sh,172
798,C:/Dev/Interactive/src/./TestClasses.cs,C:/Dev/Interactive/,src,.,Microsoft.DotNet.Interactive.Formatting.Tests,src\Microsoft.DotNet.Interactive.Formatting.Tests\TestClasses.cs,TestClasses.cs,.cs,172
